Title,Author,Original_Category,Description
Philosophy in a Time of Terror,"Jürgen Habermas, Jacques Derrida, Giovanna Borradori",History,"The idea for Philosophy in a Time of Terror was born hours after the attacks on 9/11 and was realized just weeks later when Giovanna Borradori sat down with Jürgen Habermas and Jacques Derrida in New York City, in separate interviews, to evaluate the significance of the most destructive terrorist act ever perpetrated. This book marks an unprecedented encounter between two of the most influential thinkers of our age as here, for the first time, Habermas and Derrida overcome their mutual antagonism and agree to appear side by side. As the two philosophers disassemble and reassemble what we think we know about terrorism, they break from the familiar social and political rhetoric increasingly polarized between good and evil. In this process, we watch two of the greatest intellects of the century at work."
Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,"'Enigmatic, vatic, emphatic, passionate . . . Nietzsche's works together make a unique statement in the literature of European ideas' A. C. Grayling Nietzsche was one of the most revolutionary thinkers in Western philosophy, and Thus Spoke Zarathustra remains his most influential work. It describes how the ancient Persian prophet Zarathustra descends from his solitude in the mountains to tell the world that God is dead and that the Superman, the human embodiment of divinity, is his successor. With blazing intensity, Nietzsche argues that the meaning of existence is not to be found in religious pieties or meek submission, but in an all-powerful life force: passionate, chaotic and free. Translated with an introduction by R. J. HOLLINGDALE"
China's New Confucianism,Daniel A. Bell,History,"What is it like to be a Westerner teaching political philosophy in an officially Marxist state? Why do Chinese sex workers sing karaoke with their customers? And why do some Communist Party cadres get promoted if they care for their elderly parents? In this entertaining and illuminating book, one of the few Westerners to teach at a Chinese university draws on his personal experiences to paint an unexpected portrait of a society undergoing faster and more sweeping changes than anywhere else on earth. With a storyteller's eye for detail, Daniel Bell observes the rituals, routines, and tensions of daily life in China. China's New Confucianism makes the case that as the nation retreats from communism, it is embracing a new Confucianism that offers a compelling alternative to Western liberalism. Bell provides an insider's account of Chinese culture and, along the way, debunks a variety of stereotypes. He presents the startling argument that Confucian social hierarchy can actually contribute to economic equality in China. He covers such diverse social topics as sex, sports, and the treatment of domestic workers. He considers the 2008 Olympics in Beijing, wondering whether Chinese overcompetitiveness might be tempered by Confucian civility. And he looks at education in China, showing the ways Confucianism impacts his role as a political theorist and teacher. By examining the challenges that arise as China adapts ancient values to contemporary society, China's New Confucianism enriches the dialogue of possibilities available to this rapidly evolving nation."
Civakacintamani,Tiruttakkatevar,Religion,"The circa 9th century work is one of the five epic masterpieces of Tamil literature. Though the work of a Jain mendicant, Tiruttakkatevar, it is famed for its erotic description and the scenes of love of its hero Civakan. It represents a brilliant fusion of the Jain viewpoint and philosophy with the evocative literary modes of the Tamil tradition. While Civakan is in his mother’s womb, Civakan’s father is murdered by an evil minister Kattiyankaran, whom he had made regent. His mother, Vicayai, escapes by flying off on a peacock shaped vehicle and Civakan is born in a fearsome burning ground for the dead. There his mother leaves him to be taken by a wealthy merchant Kantukatan. Raised in opulence Civakan finds out about his real father from his guru. Civakan has many adventures and acquires seven wives. Eventually, Civakan has a climatic battle with the evil usurper Kattiyankaran, regains his kingdom, and marries his eighth wife. After having eight sons, he vows to renounce the world and after having direct audience with Tirthankara Mahavira, himself, he becomes a naked Jain monk, preaches the Jaina dharma. He becomes a Siddha and achieves release from birth and rebirth soon after, going to the pinnacle of the universe where his soul will exist in infinite bliss forever."
The Theory of Moral Sentiments,Adam Smith,Business & Economics,"'How selfish soever man may be supposed, there are evidently some principles in his nature, which interest him in the fortune of others, and render their happiness necessary to him, though he derives nothing from it except the pleasure of seeing it.' So begins The Theory of Moral Sentiments (1759), the first major text by Adam Smith, who, seven years later, was to publish what was to become one of the major economic classics, The Wealth of Nations (1776). However, Smith regarded The Theory of Moral Sentiments as his most important work because in it he identified the profound human instinct to act not necessarily in self-interest but through, as he phrased it, a 'mutual sympathy of sentiments'. The work is divided into seven parts, starting with Part 1: Of the Propriety of Action, in which Smith proposes the idea that 'Sympathy' can underlie human actions towards others, prompted by various emotions, be it perception of misfortune in others or simply 'the pleasure of mutual sympathy'. Other parts include 'Of the Effect of Utility upon the Sentiment of Approbation', 'Of the Character of Virtue' and finally 'Of Systems of Moral Philosophy'. In this concluding section, Smith considers the views of other philosophers, including Epicurus, Zeno, Plato, Aristotle, Cicero and Hobbes, as well as the opinions of his mentor, Dr Francis Hutchison, an important influence. In short, Smith proposes that man's sense of morality is interwoven with social instincts as much as reason or self-interest. Sympathy - the contemporary word we would use is empathy - is a universal and strongly held emotion in mankind, he says, imbued with virtue, prudence, justice and beneficence. The Theory of Moral Sentiments was, and remains, a milestone in Western philosophy."
The East and The West,SWAMI VIVEKANANDA,Health & Fitness,"The East and the West (Swami Vivekananda Motivational & Inspirational Book) by Swami Vivekananda: Explore the profound teachings and timeless wisdom of Swami Vivekananda in The East and the West. This inspirational book delves into the intersection of Eastern spirituality and Western thought, offering insights into the unity of religions, the pursuit of truth, and the importance of embracing diversity. Through Vivekananda's powerful messages, readers are encouraged to seek harmony, inner growth, and a deeper understanding of the world. Key Aspects of the Book The East and the West: Unity of Religions: Swami Vivekananda's teachings emphasize the unity of religions and the common spiritual essence that underlies diverse faith traditions. The book explores the harmonious coexistence of Eastern and Western philosophies, inviting readers to transcend religious boundaries and recognize the shared values that unite humanity. Pursuit of Truth: Vivekananda's writings encourage individuals to embark on a personal quest for truth and self-realization. The book provides guidance on introspection, meditation, and the cultivation of inner virtues, inspiring readers to deepen their spiritual understanding and embrace a life of purpose and authenticity. Embracing Diversity: The East and the West promotes the acceptance and celebration of cultural and religious diversity. Vivekananda emphasizes the importance of mutual respect, understanding, and cooperation among individuals from different backgrounds, fostering a spirit of inclusivity and unity in a globalized world. Swami Vivekananda was an influential Indian spiritual leader, philosopher, and key figure in the introduction of Indian philosophies to the Western world. His teachings on Vedanta, yoga, and spirituality continue to inspire millions worldwide. The East and the West reflects Vivekananda's profound insights into the convergence of Eastern and Western thought and his vision of a harmonious world built on universal principles of love, compassion, and self-realization."
The Dhammapada,,Religion,"For 2,500 years, The Dhammapada has been an essential Buddhist classic. Translated by Ananda Maitreya, the 100-year-old elder of Sri Lankan Buddhism. From the foreword: ""Even though the Dhammapada appeared a little later than some other writings attributed to the Buddha, there is no doubt that the 423 verses of the Dhammapada contain the authentic teachings of the Buddha. They express the insight of this special human being who suffered, practiced the Way, experienced transformation, and reached liberation. There is a Buddha in each of us. That is why, while reading the Dhammapada, we feel that the insights of the Buddha are also our own. When we read and contemplate this book, we touch seeds of understanding and love that are buried deep inside of us, and we help them grow so we can offer to ourselves and the world the flowers of insight and liberation. I encourage you to carry this small book in your pocket and use it like a mirror, reflecting your deepest true nature back to you. Let us live our daily lives in harmony with the deep understanding brought to us by the Buddha in the beautiful verses of the Dhammapada."" —Thich Nhat Hanh Plum Village France, 1998"
Ek Onkar Satnam,Osho,Philosophy,"ओशो को हम किसी व्यक्ति विशेष के रूप में नहीं देखते। ओशो तो प्रेम, ध्यान, संगीत, नृत्य, गीत, रस, मस्ती सभी कुछ हैं।जबसे हमने ओशो साहित्य का अध्ययन प्रारंभ किया तब से हमारे संगीत में प्रेम की फुहार पड़ने लगी है। ओशो ने संगीत को प्रेम बांटने का सशक्त माध्यम बताया है। और ओशो का यही प्रेम हमारे संगीत के प्राण बनकर झरने लगा है।"
After Virtue,Alasdair MacIntyre,Philosophy,"Highly controversial when it was first published in 1981, Alasdair MacIntyre's After Virtue has since established itself as a landmark work in contemporary moral philosophy. In this book, MacIntyre sought to address a crisis in moral language that he traced back to a European Enlightenment that had made the formulation of moral principles increasingly difficult. In the search for a way out of this impasse, MacIntyre returns to an earlier strand of ethical thinking, that of Aristotle, who emphasised the importance of 'virtue' to the ethical life. More than thirty years after its original publication, After Virtue remains a work that is impossible to ignore for anyone interested in our understanding of ethics and morality today."
The Subjection of Women,"John Stuart Mill, Harriet Taylor Mill",Philosophy,"John Stuart Mill's 1869 essay The Subjection of Women argues for equality between the sexes, putting forward ideas that were an affront to many at the time. His wife, Harriet Taylor Mill, is credited with co-authoring the essay. The Subjection of Women puts forward a detailed and passionate opposition to the social and legal inequalities imposed on women by society. Mill saw that he was going against the grain of the time, but argued that such inequality was a past relic from a time when might equaled right and that it had no place in the modern world. Inequality between the sexes limited human development as it made half of humanity unable to contribute to society outside of their own homes."
Inspired Talks by Swami Vivekananda,Swami Vivekananda,Religion,"Inspired Talks by Swami Vivekananda by Swami Vivekananda is a collection of enlightening conversations and discourses delivered by the renowned spiritual leader, offering readers profound insights into spirituality, self-realization, and the path to inner awakening. Inspired Talks by Swami Vivekananda presents a remarkable compilation of the words and wisdom of Swami Vivekananda, one of India's most revered spiritual luminaries. This collection captures the essence of his teachings and offers readers an opportunity to immerse themselves in his transformative ideas. The book begins by introducing readers to the life and philosophy of Swami Vivekananda, providing context for the conversations and talks that follow. Vivekananda's profound impact on the spiritual and philosophical landscape of India is evident in his words. Central to the book are the inspiring talks and discussions led by Swami Vivekananda. Readers will find insights into various aspects of life, spirituality, and self-realization. His teachings encompass topics such as the nature of the self, the path to liberation, the importance of selfless service, and the unity of all religions. Furthermore, the book showcases Vivekananda's ability to address contemporary issues and challenges with timeless wisdom. His messages resonate with readers seeking meaning, purpose, and inner transformation in the modern world. Inspired Talks by Swami Vivekananda is not only a collection of dialogues but also an invitation to embark on a spiritual journey. It encourages readers to explore the depths of their own consciousness, discover their innate divinity, and awaken to a higher state of awareness."
The Philosophy of Rabindranath Tagore,Sarvepalli Radhakrishnan,Philosophy,"In ""The Philosophy of Rabindranath Tagore,"" Sarvepalli Radhakrishnan engages with the profound metaphysical and ethical dimensions of Tagore's thought, illuminating the interplay between Indian philosophical traditions and Western philosophical paradigms. Radhakrishnan's writing exhibits a lyrical eloquence, absorbing the richness of Tagore's poetic sensibilities while distilling complex ideas into accessible insights. The work serves as both an analysis of Tagore's philosophy and a dialogue with contemporary philosophical discourses, reflecting the poet's concerns with identity, the divine, and the nature of reality in a rapidly modernizing world. Radhakrishnan, a distinguished philosopher and statesman, held a profound respect for Tagore's contributions to literature and culture; his background as an educator and scholar of Indian philosophy led him to advocate for the integration of Eastern and Western thought. His experiences as an ambassador of Indian cultural ideals on the global stage undoubtedly influenced his perception of Tagore as a venerated thinker who sought to reconcile spirituality with humanism, positioning his work within the larger context of Indian philosophical heritage. This book is not merely for scholars of Tagore or Indian philosophy but for anyone interested in the intersections of literature, spirituality, and ethics. Radhakrishnan's thoughtful analysis invites readers to explore the essence of Tagore's philosophy, making it a valuable addition to the libraries of those seeking deeper understanding of transcultural philosophical dialogue."
Studies in the Way of Words,Paul Grice,Philosophy,"This volume, Paul Grice’s first book, includes the long-delayed publication of his enormously influential 1967 William James Lectures. But there is much, much more in this work. Grice himself has carefully arranged and framed the sequence of essays to emphasize not a certain set of ideas but a habit of mind, a style of philosophizing. Grice has, to be sure, provided philosophy with crucial ideas. His account of speaker-meaning is the standard that others use to define their own minor divergences or future elaborations. His discussion of conversational implicatures has given philosophers an important tool for the investigation of all sorts of problems; it has also laid the foundation for a great deal of work by other philosophers and linguists about presupposition. His metaphysical defense of absolute values is starting to be considered the beginning of a new phase in philosophy. This is a vital book for all who are interested in Anglo-American philosophy."
Aristotle on Perception,Stephen Everson,Philosophy,"Stephen Everson presents a comprehensive new study of Aristotle's account of perception, placing it in the context of Aristotle's natural philosophy, which is the focus of current debate on his theory of mind."
The Concept of the Political,Carl Schmitt,Political Science,"""Arguably Schmitt's most influential work . . . recognized as one of the most important tracts of modern political thought."" —Samuel Earle, The New Statesman In this, his most influential work, legal theorist and political philosopher Carl Schmitt argues that liberalism's basis in individual rights cannot provide a reasonable justification for sacrificing oneself for the state—a critique as cogent today as when it first appeared. George Schwab's introduction to his translation of the 1932 German edition highlights Schmitt's intellectual journey through the turbulent period of German history leading to the Hitlerian one-party state. In addition to analysis by Leo Strauss and a foreword by Tracy B. Strong placing Schmitt's work into contemporary context, this expanded edition also includes a translation of Schmitt's 1929 lecture ""The Age of Neutralizations and Depoliticizations,"" which the author himself added to the 1932 edition of the book. An essential update on a modern classic, The Concept of the Political, Expanded Edition belongs on the bookshelf of anyone interested in political theory or philosophy. ""Contains much of what is fundamental in Schmitt's understanding of the political nature of man and the state, including his contentious definition of the political as the distinction between friend and enemy . . . Its scholarship is unquestionable."" —Joseph W. Bendersky, Canadian Journal of Political and Social Theory ""The best introduction to Schmitt's thought."" —Mark Lilla, New York Review of Books ""[A] foundational work . . . Minor disagreements over terms fade . . . in light of the superb job Schwab has done rendering Schmitt's long, multi-clausal German sentences into concise, pellucid English."" —Robert D. Rachlin, HNet"
Science for All Americans,"Floyd James Rutherford, Andrew Ahlgren",Language Arts & Disciplines,"In order to compete in the modern world, any society today must rank education in science, mathematics, and technology as one of its highest priorities. It's a sad but true fact, however, that most Americans are not scientifically literate. International studies of educational performance reveal that U.S. students consistently rank near the bottom in science and mathematics. The latest study of the National Assessment of Educational Progress has found that despite some small gains recently, the average performance of seventeen-year-olds in 1986 remained substantially lower than it had been in 1969. As the world approaches the twenty-first century, American schools--when it comes to the advancement of scientific knowledge--seem to be stuck in the Victorian age.In Science for All Americans, F. James Rutherford and Andrew Ahlgren brilliantly tackle this devastating problem. Based on Project 2061, a scientific literacy initiative sponsored by the American Association for the Advancement of Science, this wide-ranging, important volume explores what constitutes scientific literacy in a modern society; the knowledge, skills, and attitudes all students should acquire from their total school experience from kindergarten through high school; and what steps this country must take to begin reforming its system of education in science, mathematics, and technology.Science for All Americans describes the scientifically literate person as one who knows that science, mathematics, and technology are interdependent enterprises with strengths and limitations; who understands key concepts and principles of science; who recognizes both the diversity and unity of the natural world; and who uses scientific knowledge and scientific ways of thinking for personal and social purposes. Its recommendations for educational reform downplay traditional subject categories and instead highlight the connections between them. It also emphasizes ideas and thinking skills over the memorization of specialized vocabulary. For instance, basic scientific literacy means knowing that the chief function of living cells is assembling protein molecules according to the instructions coded in DNA molecules, but does not mean necessarily knowing the terms ""ribosome"" or ""deoxyribonucleic acid.""Science, mathematics, and technology will be at the center of the radical changes in the nature of human existence that will occur during the next life span; therefore, preparing today's children for tomorrow's world must entail a solid education in these areas. Science for All Americans will help pave the way for the necessary reforms in America's schools."
The Technology Trap,Carl Benedikt Frey,Business & Economics,"From the Industrial Revolution to the age of artificial intelligence, Carl Benedikt Frey offers a sweeping account of the history of technological progress and how it has radically shifted the distribution of economic and political power among society's members. As the author shows, the Industrial Revolution created unprecedented wealth and prosperity over the long run, but the immediate consequences of mechanization were devastating for large swaths of the population.These trends broadly mirror those in our current age of automation. But, just as the Industrial Revolution eventually brought about extraordinary benefits for society, artificial intelligence systems have the potential to do the same. Benedikt Frey demonstrates that in the midst of another technological revolution, the lessons of the past can help us to more effectively face the present. --From publisher description."
Freeze-drying of Pharmaceuticals and Biopharmaceuticals,"Felix Franks, Tony Auffret",Medical,"Freeze-drying, in the past popular in the food industry, has more recently been adopted by the pharmaceutical industry as a standard method for the production of stable solid preparations. Freeze-drying of Pharmaceuticals and Biopharmaceuticals is the first book to specifically describe this process, as related to the pharmaceutical industry. The emphasis of this book is on the properties of the materials processed, how effective formulations are arrived at, and how they are stored and marketed. Beginning with a historical overview of the process, Freeze-drying of Pharmaceuticals and Biopharmaceuticals briefly describes the processes and equipment involved, including: the physics, chemistry and biochemistry associated with freezing, aspects of formulation development, primary and secondary drying; the economics and engineering of scaling up; and, most importantly, attributes of the dried product. It also discusses in detail the science behind freeze-drying, such as the properties of crystalline and amorphous solids. The book concludes with selected case studies and discusses the future of freeze-drying, advances in alternative drying methods, and concludes with an extensive bibliography. This book, written by a leading expert in the field, is aimed primarily at product and process developers in the biopharmaceutical industry and academia. Extract from a review: .."".this book is a very useful and thorough overview of the processes in operation during freezing and lyophilization and should be read by all those who are interested in freeze drying and pharmaceutical formulation design. I certainly will be returning to it as an excellent summary of these important issues."" CryoLetters, c/o Royal Veterinary College, London, UK"
Handbook of Nuclear Chemistry,"Attila Vértes, Sándor Nagy, Zoltán Klencsár",Medical,"Impressive in its overall size and scope, this five-volume reference work provides researchers with the tools to push them into the forefront of the latest research. The Handbook covers all of the chemical aspects of nuclear science starting from the physical basics and including such diverse areas as the chemistry of transactinides and exotic atoms as well as radioactive waste management and radiopharmaceutical chemistry relevant to nuclear medicine. The nuclear methods of the investigation of chemical structure also receive ample space and attention. The international team of authors consists of 77 world-renowned experts - nuclear chemists, radiopharmaceutical chemists and physicists - from Austria, Belgium, Germany, Great Britain, Hungary, Holland, Japan, Russia, Sweden, Switzerland and the United States. The Handbook is an invaluable reference for nuclear scientists, biologists, chemists, physicists, physicians practicing nuclear medicine, graduate students and teachers - virtually all who are involved in the chemical and radiopharmaceutical aspects of nuclear science. The Handbook also provides for further reading through its rich selection of references."
Positive Computing,"Rafael A. Calvo, Dorian Peters",Computers,"A case for building a digital environment that can make us happier and healthier, not just more productive, and a theoretical framework for doing so."
Understanding Media,Marshall McLuhan,Language Arts & Disciplines,"McLuhan believes we are living in the midst of a turbulent, unseen revolution, where human technologies are becoming extensions of the human organism and the central nervous system. His book is a fascinating analysis of all media."
"Technics and Time, 1",Bernard Stiegler,Philosophy,"What is a technical object? At the beginning of Western philosophy, Aristotle contrasted beings formed by nature, which had within themselves a beginning of movement and rest, and man-made objects, which did not have the source of their own production within themselves. This book, the first of three volumes, revises the Aristotelian argument and develops an innovative assessment whereby the technical object can be seen as having an essential, distinct temporality and dynamics of its own. The Aristotelian concept persisted, in one form or another, until Marx, who conceived of the possibility of an evolution of technics. Lodged between mechanics and biology, a technical entity became a complex of heterogeneous forces. In a parallel development, while industrialization was in the process of overthrowing the contemporary order of knowledge as well as contemporary social organization, technology was acquiring a new place in philosophical questioning. Philosophy was for the first time faced with a world in which technical expansion was so widespread that science was becoming more and more subject to the field of instrumentality, with its ends determined by the imperatives of economic struggle or war, and with its epistemic status changing accordingly. The power that emerged from this new relation was unleashed in the course of the two world wars. Working his way through the history of the Aristotelian assessment of technics, the author engages the ideas of a wide range of thinkers--Rousseau, Husserl, and Heidegger, the paleo-ontologist Leroi-Gourhan, the anthropologists Vernant and Detienne, the sociologists Weber and Habermas, and the systems analysts Maturana and Varela."
Splintering Urbanism,"Stephen Graham, Simon Marvin",Business & Economics,"This text offers an international and interdisciplinary analysis of the complex interactions between infrastructure networks and urban spaces. Drawing on case studies and examples from across the globe, it offers a statement on the urban condition."
Zeros + Ones,Sadie Plant,Business & Economics,"Electronic Inspection Copy available for instructors here Business schools are arguably some of the most influential institutions in contemporary society. The research and education they provide set the standard for how future leaders manage local and global organizations - a responsibility requiring continual discussion, development and challenge. This exciting book explores the role of business schools through 3 key dimensions: - How business school legitimacy has been challenged by the recent economic crisis and corporate scandals; - How schools contribute to shaping and transforming business conduct; and - How institutions, past and present, develop their identities to face the challenges presented by the ongoing globalization process. Combining global perspectives from business school Deans, scholars and stakeholders, this book presents a unique discussion of the current and future challenges facing business schools and their contributions to society."
Computer-controlled Systems,"Karl Johan Åström, Björn Wittenmark",Technology & Engineering,"This book provides a balanced survey of theory and practical aspects of computer-controlled systems.Design methods and practical aspects of computer controlled systems are presented. Interactive use of MATLAB and Simulink macros to understand the theory. Presents extensive pedagogical aids, such as worked examples, MATLAB macros, solutions manual, and problems to facilitate understanding."
Biographical Dictionary of the History of Technology,"Lance Day, Ian McNeil",History,"From ancient times to the present day, the major inventors, discoverers and entrepreneurs from around the world are profiled, and their contribution to society is explained and assessed."
Critical Theory of Technology,Andrew Feenberg,Language Arts & Disciplines,"This pathbreaking book argues that the roots of the degradation of labor, education, and the environment lie not in technology per se but in the cultural values embodied in its design."
The Closing Circle,Barry Commoner,Nature,"Author makes an important statement on the nature, the cause, and the possible solution of the impending environmental disaster which man has created with his own technology."
Sons and Lovers,David Herbert Lawrence,Fiction,A provocative portrait of an artist torn between love for his possessive mother and desire for two young beautiful women. It is also the story of Paul Morel's growing into manhood torn by both inner and outer conflict.
Toxic Bachelors,Danielle Steel,Fiction,"Three daunting bachelors embark on a journey to the Mediterranean where they face women who challenge their deepest relationship phobias, sparking big changes in the once-carefree trio that just might put an end to their carousing days."
Pride and Prejudice,Jane Austen,Fiction,The text of Pride and Prejudice is the 1813 first edition text.
Marriage Most Scandalous,Johanna Lindsey,Fiction,"For Sebastian Townshend, son of the eighth Earl of Edgewood, England is a distant and bitter memory."
A Loving Scoundrel,Johanna Lindsey,Fiction,"Danny grew up on the streets of London as a pickpocket, but Jeremy Malory rescues her and hires her as his upstairs maid."
Special Delivery,Danielle Steel,Fiction,"Tells the story of Jack Watson, a wealthy Beverly Hills businessman and widower, who falls in love with his daughter-in-law's mother and together they discover a relationship marked by challenges and surprises."
Me Before You (Movie Tie-In),Jojo Moyes,Fiction,"Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living."
Restore Me,Tahereh Mafi,Juvenile Fiction,"The book that all SHATTER ME fans have been waiting for is finally here. The fourth incredible instalment of Tahereh Mafi's New York Times bestselling YA fantasy series perfect for fans of Sarah J. Maas, Victoria Aveyard's The Red Queen, Stranger Things and Leigh Bardugo's Six of Crows The girl with the power to kill with a single touch now has the world in the palm of her hand. Juliette Ferrars thought she'd won. She took over Sector 45, was named Supreme Commander, and now has Warner by her side. But when tragedy strikes, she must confront the darkness that dwells both around and inside her. Tahereh Mafi is the New York Times bestselling author of the Shatter Me series which has been published in over 30 languages around the world. She was born in a small city somewhere in Connecticut and currently resides in Santa Monica, California, with her husband, Ransom Riggs, fellow bestselling author of Miss Peregrine's Home For Peculiar Children, and their young daughter. She can usually be found overcaffeinated and stuck in a book. Follow her on Instagram and Twitter @TaherehMafi PRAISE FOR THE SHATTER ME SERIES: ""Dangerous, sexy, romantic, and intense. I dare you to stop reading."" - Kami Garcia, #1 New York Times bestselling co-author of the Beautiful Creatures series ""Addictive, intense, and oozing with romance. I'm envious. I couldn't put it down."" - Lauren Kate, #1 New York Times bestselling author of the Fallen series ""Tahereh Mafi's bold, inventive prose crackles with raw emotion. A thrilling, high-stakes saga of self-discovery and forbidden love, the Shatter Me series is a must-read for fans of dystopian young adult literature - or any literature!"" -Ransom Riggs, #1 New York Times bestselling author of Miss Peregrine's Home for Peculiar Children ""IGNITE ME really does ignite all five of your senses. It blows your mind and makes you hungry for more of its amazing characters. It will completely blow your expectations; Tahereh Mafi truly knows how to deliver!"" - Teenreads.com"
Second Chance,Danielle Steel,Fiction,"Freewheeling fashion magazine editor Fiona Monaghan meets her match--and opposite--in conservative widower John Anderson, who accompanies her to a Paris couture show and unexpectedly steals her heart, a development that prompts both to adapt their contrasting lifestyles. 900,000 first printing."
A Man to Call My Own,Johanna Lindsey,Fiction,"Charismatic twins Amanda and Marlan Laton, sent to live with their aunt on a sprawling 1870s Texas ranch, find themselves competing for the love of cowboy neighbor Chad Kinkaid."
Jane Eyre,Charlotte Brontë,Romance,"Bronte's infamous Gothic novel tells the story of orphan Jane, a child of unfortunate circumstances. Raised and treated badly by her aunt and cousins and eventually sent away to a cruel boarding school, it is not until Jane becomes a governess at Thornfield that she finds happiness. Meek, measured, but determined, Jane soon falls in love with her brooding and stormy master, Mr Rochester, but it is not long before strange and unnerving events occur in the house and Jane is forced to leave Thornfield to pursue her future."
Sunset in St. Tropez,Danielle Steel,Fiction,"Taking a vacation together to grieve over the death of one of their group, five friends are dismayed by the ramshackle mansion they find instead of the garden villa they expected, and the unexpected appearance of the new girlfriend of the widowed husband."
Last Voyage of the Valentina,Santa Montefiore,Fiction,"When Alba discovers a portrait of her deceased mother, she travels to the Amalfi coast of Italy to find out about her mother's past and not only discovers hidden secrets, but realizes the possibility of love and happiness in her own future."
A Beautiful Wedding,Jamie McGuire,Fiction,"""You know that Abby Abernathy unexpectedly became Mrs. Maddox. But what do you really know? Why did Abby pop the question? What secrets were shared before the ceremony? Where did they spend their wedding night? Who else knew about it . . . and didn't tell? Everything about Abby and Travis's elopement was top-secret . . . until now. Fans of ""Beautiful Disaster"" and ""Walking Disaster"" will get all of their questions answered in this whirlwind tale of the wedding day (and night)...""--Provided by publisher."
The Japanese Lover,Isabel Allende,Fiction,"In 1939, as Poland falls under the shadow of the Nazis, young Alma Belasco's parents send her away to live in safety with an aunt and uncle in their opulent mansion in San Francisco. There, as the rest of the world goes to war, she encounters Ichimei Fukuda, the quiet and gentle son of the family's Japanese gardener. Unnoticed by those around them, a tender love affair begins to blossom. Following the Japanese attack on Pearl Harbor, the two are cruelly pulled apart as Ichimei and his family -- like thousands of other Japanese Americans -- are declared enemies and forcibly relocated to internment camps run by the United States government. Throughout their lifetimes, Alma and Ichimei reunite again and again, but theirs is a love that they are forever forced to hide from the world. Decades later, Alma is nearing the end of her long and eventful life. Irina Bazili, a care worker struggling to come to terms with her own troubled past, meets the elderly woman and her grandson, Seth, at San Francisco's charmingly eccentric Lark House nursing home. As Irina and Seth forge a friendship, they become intrigued by a series of mysterious gifts and letters sent to Alma, eventually learning about Ichimei and this extraordinary secret passion that has endured for nearly seventy years."
Sunny Chandler's Return,Sandra Brown,Fiction,"Sandra Brown has won over fans and critics throughout the world with more than fifty New York Times bestselling novels. Her early works were hailed by Rendezvous magazine as stories with ""larger than life heroes and heroines [who] make you believe all the warm, wonderful, wild things in life."" Here is the unforgettable story of a woman who returns to her small hometown in the South--and finds that the sins of her past are right where she left them. Never. Sunny Chandler always said she'd never go back to the tiny town where she grew up. It was just three years ago that she was at the center of a notorious scandal--and the good folks of Latham Green, Louisiana, made it clear they'd never let her forget it. So Sunny packed up and headed for New Orleans, and now she wouldn't give up city life for the world. But when she's invited to her best friend's wedding, Sunny has no choice but to go home. And with her return come the whispers...the looks...the rumors she tried to escape. It doesn't take Sunny long to see that Latham Green has nothing new to offer. Except maybe Ty Beaumont. The moment Ty and Sunny first meet at a party, he can see she's no ordinary woman. With her dazzling hair, and eyes the color of gold, she's a flesh-and-blood fantasy--and Ty vows he'll have her in his bed before the week is out. Yet even when he turns on his southern charm, Sunny makes it clear she's not interested. Sure, a night with Ty would be wilder than Bourbon Street at Mardi Gras. But Sunny's not in town to become some good ol' boy's latest conquest, no matter how sexy he is. Little does she know that Ty isn'tused to taking no for an answer--and he isn't about to start now. Soon what began as an innocent flirtation becomes a tantalizingly slow, skillfully deliberate, and overwhelmingly seductive pursuit that even Sunny finds hard to resist. But resist him she will. For Sunny is harboring an agonizing secret--the painful truth of why she left Latham Green the way she did. What she really needs now is a friend--and that's when she discovers there may be more to Ty Beaumont than meets the eye. Despite his roguish facade, Sunny comes to see he has a heart of gold. Still, she doesn't know if she can trust another person with her secret heartbreak--not even the one man who may be able to heal it."
Twisted Perfection,Abbi Glines,Fiction,"""Della Sloane is not your average girl. Yearning to break free of her dark and sheltered past and the memories of the illness that claimed her mother, Della plans a solo road trip to experience real life on her own terms. But the trip is nearly cut short in the little beach town of Rosemary when she realizes she can't even pump her own gas; until Woods Kerrington shows up, more than willing to help out a pretty girl in need.""--Page 4 of cover."
Northern Lights,Nora Roberts,Fiction,"Lunacy, Alaska - population 506 - is Nate Burke's last chance. As a Baltimore cop, he had watched his partner die - and the guilt still haunts him. Maybe serving as Chief of Police in this tiny, remote town, where darkness falls by mid-afternoon and temperatures fall to below zero, will bring some kind of solace. It isn't as if he has anywhere else to go. Aside from sorting out a run-in between a couple of motor vehicles and a moose and pulling apart two brothers fighting overJohn Wayne's best movie Nate's first weeks on the job are relatively quiet. But as he wonders whether this was all a big mistake, an unexpected kiss from feisty bush pilot Meg Galloway under the brilliant Northern Lights of the Alaska sky lifts his spirit - and convinces him to stay just a little longer. Born and raised in Lunacy, Meg has learned to be independent. But there's something about Nate's sad eyes that gets under her skin, and warms her frozen heart. However, when two climbers find a corpse on the mountain, Nate discovers that Lunacy isn't quite the sleepy little backwater he imagined."
Sweet Revenge,Nora Roberts,Fiction,"Adrianne, daughter of a Hollywood star and an Arab playboy, lives a double life as a highly successful jewel thief."
